City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
komsomolskiy,40.4272,71.7189,81.32,17,6,4.61,UZ,1624423394
pestravka,52.405,49.9583,82.89,56,0,5.06,RU,1624423395
kuusamo,65.9667,29.1833,53.64,94,90,6.91,FI,1624423396
westport,41.1415,-73.3579,60.94,89,90,3.0,US,1624423398
maceio,-9.6658,-35.7353,72.84,94,40,3.44,BR,1624423175
harper,4.375,-7.7169,76.06,89,100,6.6,LR,1624423400
ruidoso,33.3317,-105.673,71.74,43,1,10.36,US,1624423401
touros,-5.1989,-35.4608,74.3,90,6,9.37,BR,1624423403
richards bay,-28.783,32.0377,57.96,46,0,4.16,ZA,1624423404
marystown,47.1666,-55.1483,56.86,100,98,1.99,CA,1624423388
tuatapere,-46.1333,167.6833,47.82,86,100,2.66,NZ,1624423406
aracuai,-16.8497,-42.0703,64.67,86,93,1.81,BR,1624423407
fare,-16.7,-151.0167,80.11,73,11,8.66,PF,1624423409
triunfo,-29.9433,-51.7181,58.84,98,56,4.59,BR,1624423410
sayyan,15.1718,44.3244,70.68,29,43,5.08,YE,1624423411
padang,-0.9492,100.3543,86.05,58,85,7.65,ID,1624423412
coihaique,-45.5752,-72.0662,31.95,93,40,3.44,CL,1624423414
tura,25.5198,90.2201,85.35,67,54,7.72,IN,1624423415
sahuaripa,29.05,-109.2333,79.56,70,98,5.41,MX,1624423416
baoqing,46.3317,132.2111,82.81,34,18,5.75,CN,1624423417
andenes,69.3143,16.1194,50.07,71,0,13.8,NO,1624423419
dhemaji,27.4833,94.5833,78.87,93,100,3.94,IN,1624423420
zhicheng,30.2956,111.5047,89.1,45,87,4.61,CN,1624423422
saint-pierre,-21.3393,55.4781,68.58,88,90,6.91,RE,1624423424
sycamore,41.9889,-88.6868,66.18,74,90,1.01,US,1624423425
luderitz,-26.6481,15.1594,56.34,89,0,6.87,NA,1624423426
constitucion,-35.3333,-72.4167,55.81,92,100,23.85,CL,1624423427
san,13.3034,-4.8956,81.27,58,100,12.71,ML,1624423429
